ID da música,Duração (em minutos),Estimativa de popularidade nos EUA,Dançabilidade,Energia,Instrumentalidade,Ano de Lançamento,Escala musical,Música foi pulada no início,Música não foi pulada,Escutada em qual hora do dia
t_e2f87674-b255-41e1-b881-7e8091239486,3.2466667175292967,99.96200702804036,0.2006126791238784,0.9403043389320372,1.866089405666571e-05,2009,Menor,Verdadeiro,Falso,11
t_e75d2114-0d7b-439e-9a14-bcc939730d49,4.464436340332031,99.90764243379742,0.3035845458507537,0.9513829350471495,0.0012017311528325,2018,Menor,Verdadeiro,Falso,16
t_eba1cc7a-00b0-4ba8-8bce-af37b0de8777,2.528666687011719,99.88350719811773,0.472023993730545,0.952256441116333,3.328741149744019e-05,2017,Maior,Falso,Verdadeiro,1
t_722eb0d8-e3ec-4503-9734-887f9ea17a89,2.826013692220052,99.82990818911956,0.7145482301712036,0.8582784533500671,9.338656781210376e-08,2018,Maior,Verdadeiro,Verdadeiro,18
t_171761c9-0936-44a5-a13b-ddf5c5507e64,3.8047520955403646,96.82716062269552,0.8082984685897827,0.5630468130111694,3.4900374257240685e-11,2017,Menor,Falso,Verdadeiro,10
t_dc320d0d-e3c8-4691-bde8-a30dd5b9de37,4.054222106933593,99.99524565129488,0.3917820453643798,0.824523389339447,2.248283408334828e-06,2016,Menor,Falso,Falso,21
t_b436034a-b1a3-4ae0-b348-91c7bbe54630,3.680888875325521,99.97094153651705,0.746193528175354,0.6172179579734802,1.7501832871857917e-07,2012,Menor,Falso,Verdadeiro,15
t_4df1a5e4-e154-4a90-8fcb-d3aef15b51bc,4.183777872721354,99.31754026403397,0.5460947155952453,0.8601732850074768,0.0003878249845001,1972,Maior,Falso,Verdadeiro,5
t_dad38ca3-aee9-45ea-bf0a-8278fec52d4b,3.5704444885253905,99.98689819873071,0.9250215888023376,0.6589931845664978,7.878156611695884e-05,2005,Maior,Falso,Falso,15
t_011552ea-0c12-4918-abb2-64b9783ad67d,3.2288889567057284,99.96470748523792,0.6370977759361267,0.8344616293907166,2.236328233706785e-09,2004,Menor,Falso,Verdadeiro,15
t_bcf14512-ef8b-41a8-b3b0-4dce36008d3c,3.253111267089844,99.52667209728232,0.7268223166465759,0.7355802655220031,4.0587352145848854e-07,2012,Menor,Verdadeiro,Falso,16
t_3d90606d-ea59-4a7d-940e-bfd8c6e85522,4.319333394368489,99.88911398417522,0.4899795949459075,0.9083436131477356,0.0014675506390631,2008,Maior,Verdadeiro,Falso,12
t_4e582cf8-1a36-4067-b402-a36f0881b1ba,3.354974365234375,99.65122606144816,0.7437317967414856,0.7161444425582885,8.177790888908021e-09,2017,Menor,Falso,Verdadeiro,21
t_021ac1c4-4b29-466d-b078-9b3ef9a33f80,3.20994873046875,99.99100919849064,0.716126799583435,0.906456470489502,1.92481394378774e-07,2016,Maior,Verdadeiro,Falso,18
t_38ec519d-76c1-482a-9e93-6b75065ff781,2.8155789693196613,99.84368711515368,0.2791609764099121,0.5870605707168579,0.6322226524353027,2017,Menor,Verdadeiro,Falso,0
t_fcf42568-5aad-456b-87e1-f1a93a9b8a41,3.0618563334147137,99.99217366008148,0.7185336351394653,0.6964606642723083,1.1494721547933295e-06,2015,Menor,Falso,Verdadeiro,16
t_621b8510-76f5-467b-b1b2-e6a98e36d48c,4.171333312988281,99.43756987674254,0.6089747548103333,0.3744753301143646,2.7222571929996775e-07,2014,Maior,Verdadeiro,Falso,17
t_099df0ac-bf6d-41ec-b507-1e0ebe4a44f6,3.9795555114746093,99.94997318602016,0.7197533845901489,0.7315763235092163,2.1647640277566715e-12,2004,Maior,Verdadeiro,Falso,8
t_6691c8f2-c277-4a65-b1d7-a07b5c16665e,3.134222157796224,96.88742311839373,0.813867449760437,0.472848504781723,7.026342063909397e-05,2018,Maior,Falso,Verdadeiro,11
t_de663acf-44da-48ad-a7f9-b3cec4e4098e,2.9057044982910156,98.76054643936357,0.1672599464654922,0.602193534374237,0.8482846617698669,2014,Maior,Falso,Verdadeiro,16
t_da29501b-f11e-4a38-8cc4-8e3c56c27816,3.2875554402669267,99.92352350251004,0.3105290234088897,0.8855462670326232,2.3618706990191644e-08,2017,Menor,Verdadeiro,Verdadeiro,14
t_5c8a3095-769f-4944-8958-e82b8a029021,2.9648887634277346,99.7648093177257,0.5212513208389282,0.9429664611816406,0.1709220558404922,2004,Maior,Falso,Falso,9
t_0b30bd96-aa3c-4b63-bbd9-970ba2ecf16e,3.9722221374511717,99.97167817105932,0.5967686772346495,0.7552380561828613,9.047136373396824e-10,2018,Menor,Falso,Verdadeiro,13
t_7a376dcd-6780-4e24-8256-648c17f36aa3,4.088222249348958,99.90837102647788,0.7349531650543212,0.5761152505874633,2.3851678633946e-05,2018,Menor,Falso,Verdadeiro,15
t_d55b5591-b337-485c-ba48-06df9d328d50,3.0704444885253905,99.01803077096189,0.2667454481124877,0.9834486246109008,0.0604685470461845,2006,Menor,Falso,Falso,22
t_5f5b3e00-d519-4694-8eac-c7313b1e96dc,4.053777821858724,99.78321231430355,0.5665549039840698,0.550574243068695,2.7031433091906365e-08,1980,Maior,Falso,Falso,11
t_cb310021-c44b-41ba-a3b0-5a8796f04af3,3.5301200866699216,99.33317042665792,0.739419937133789,0.6659701466560363,1.2100965705030833e-06,2018,Maior,Falso,Falso,17
t_42c64aa7-780b-43aa-8088-c4a06821790d,4.258444468180339,99.75210478443007,0.3229270279407501,0.6949222683906555,2.4796524940029485e-06,2012,Maior,Verdadeiro,Verdadeiro,17
t_0a591149-9424-4393-a20c-1c303614bc84,3.4116500854492187,99.99059906353804,0.6809446811676025,0.9251527190208436,1.699454696790781e-05,2017,Maior,Verdadeiro,Verdadeiro,15
t_59651525-9b71-4ea1-80be-0f968003edcc,5.26742197672526,99.91614911522552,0.5167545676231384,0.5981070399284362,0.000541589979548,2017,Menor,Falso,Verdadeiro,2
t_e2114263-57cc-4352-9b30-3c0ca3f48c8d,3.0909093221028647,99.78813071698973,0.4333015978336334,0.9634892344474792,3.5877331328038053e-08,2014,Maior,Falso,Verdadeiro,2
t_94b0136a-8be2-443e-94d1-122616dec709,1.9422040303548178,99.92030997452868,0.4844284653663635,0.3563610017299652,1.706911521848209e-11,2015,Maior,Falso,Falso,11
t_c532b256-ea94-461c-bfd5-f28fdd76aebc,3.4957778930664065,99.9756942768498,0.681612491607666,0.6240368485450744,0.0260818675160408,2017,Maior,Verdadeiro,Verdadeiro,19
t_13a84331-477c-4f24-82d9-dfcc4812975c,7.415292358398438,99.45099817760152,0.6418588757514953,0.6594071984291076,1.7420131825929277e-06,2013,Maior,Verdadeiro,Falso,10
t_f488fa90-de3d-4bd3-9a1c-757f1f9dc428,2.4825032552083335,99.99353112635588,0.697333037853241,0.7264175415039062,2.4199364361265907e-06,2017,Maior,Verdadeiro,Falso,16
t_ff9ce9d6-b330-44ec-8c97-6a78ce67adaf,4.321333312988282,99.99270603133364,0.4250292181968689,0.3716667294502258,0.0148075241595506,2016,Maior,Falso,Verdadeiro,15
t_8acac5d9-dc6f-462c-85d0-1d74cbc15ca5,6.0551111857096345,99.7930877206126,0.6172217726707458,0.8438087701797485,0.0008314694277942,2017,Maior,Verdadeiro,Verdadeiro,18
t_a51042ab-0354-44f2-bbae-6c4acda0e5ca,3.091425577799479,99.00336402338336,0.7127122282981871,0.8797813057899475,1.3089112042494189e-12,2015,Menor,Falso,Falso,14
t_a00f36b5-a3f5-4bdf-aa39-cdff4f2322de,3.3940574645996096,99.86558188813169,0.8992751836776733,0.5450236201286315,3.2662755984347314e-05,2017,Menor,Verdadeiro,Falso,10
t_810ed36d-ff0f-4a2a-b085-0d7aa713778d,1.6120000203450522,98.68668676370824,0.1634577512741088,0.1438964754343032,0.8848004341125488,2015,Menor,Verdadeiro,Falso,19
t_cb1c75f2-ecc7-4efd-a1c2-e4f72a1e0150,3.102630360921224,99.64304587960976,0.7670091986656189,0.3196207880973815,0.0005972369108349,2017,Maior,Verdadeiro,Falso,23
t_f4af3731-de4b-4563-ad06-311c1a71bd16,2.8784444173177084,99.94137000225024,0.6616657972335815,0.7713353037834167,0.0003464219335,2015,Maior,Falso,Falso,15
t_3eadf21b-67cc-4844-84ff-11690be4687b,3.8996462504069016,98.95409314441412,0.654309332370758,0.6385607123374939,3.237681119299535e-13,2014,Menor,Verdadeiro,Falso,20
t_ee6a17a1-8a9c-4695-bc93-e4a3fa868f58,3.0791142781575522,99.91921145620472,0.5011484622955322,0.9258828163146972,0.0511978901922702,2015,Maior,Falso,Verdadeiro,12
t_f0160c5b-a71a-4662-b893-5f7fd5549c76,3.551555379231771,99.99785282289535,0.559065580368042,0.894635260105133,4.5284845318072087e-10,2016,Menor,Falso,Verdadeiro,14
t_e8b3ae13-05d1-4ba9-9e39-19b039b59119,4.551333109537761,99.83644461440292,0.8339004516601562,0.523287296295166,6.698362085444387e-06,2015,Menor,Falso,Falso,16
t_f53a0057-a2a9-4b2f-a43c-89e2fc6ae897,3.036666615804036,99.89905050863408,0.5804510116577148,0.1588135510683059,1.2613397757377245e-06,1997,Maior,Falso,Verdadeiro,20
t_64701bdd-c73f-46cd-b5de-2f23fa95494e,4.470000203450521,99.9266968211823,0.7369749546051025,0.54110050201416,0.0213772933930158,2003,Maior,Verdadeiro,Falso,16
t_6ea3c83e-650f-4225-85a0-bc806b899c90,3.2572441101074214,99.72783283709953,0.6702126860618591,0.3769552707672119,1.4503243050967283e-09,2016,Maior,Falso,Verdadeiro,19
t_5b76570d-4e0c-4aa1-8272-f3b4315d4e1d,2.8003265380859377,99.88535200121812,0.761980414390564,0.50393807888031,5.213829812333871e-09,2017,Maior,Verdadeiro,Verdadeiro,0
t_81de3470-d5c5-4b91-b911-c3fc6117177f,3.907999928792317,99.99115234363094,0.6892313957214355,0.5322250127792358,1.5764242107252358e-06,2014,Menor,Falso,Verdadeiro,9
t_1e2a17b5-0971-4617-92ea-7ee213114075,4.29866689046224,99.98571765341624,0.5613076090812683,0.5405036211013793,0.0371170043945312,2014,Menor,Verdadeiro,Falso,15
t_ae695a73-d428-4da6-b58c-f94fef0fbbbc,3.648666636149088,99.76996254277688,0.8240250945091246,0.652971625328064,6.726189158597074e-13,2016,Menor,Verdadeiro,Falso,5
t_5d31d6bb-d5f1-4e26-8a3f-d135435faaf9,3.325777943929036,99.55125446047896,0.4227713346481323,0.6691151857376098,1.3825062694650114e-07,2014,Menor,Verdadeiro,Falso,17
t_b8b1dfbf-f278-403a-9a47-4dcadbbe5cd7,3.4613332112630206,99.59177579379327,0.6714333295822144,0.9069852828979492,3.1285267709790787e-09,2014,Maior,Verdadeiro,Falso,22
t_8c65611d-df51-4bfd-9e13-6916b7303ecb,3.5884445190429677,99.79962575426832,0.342885822057724,0.2734886109828949,0.0001479830389143,2006,Menor,Verdadeiro,Falso,16
t_60dab9ca-f596-4f3e-a25f-a5c6a3c89f7f,2.997630310058594,99.88894027996004,0.4802684187889099,0.6867550611495971,1.3039017687788146e-07,2018,Maior,Falso,Falso,18
t_e6c48ddb-91d4-4173-a2a3-c2d3e180244c,3.5294120788574213,99.83748040620472,0.6974379420280457,0.7962016463279724,1.2112826019983203e-10,2016,Menor,Falso,Verdadeiro,13
t_8693a5fc-8186-4dd8-aa5f-c7e307eaeddf,3.264666748046875,99.97182614131673,0.4396284222602844,0.8433111310005188,6.60678997519426e-05,2003,Menor,Verdadeiro,Falso,20
t_ae9ec2ed-5ee9-4f91-9d55-182ff5d5c104,3.377777862548828,97.59586771825698,0.8647682070732116,0.6880740523338317,7.422434578074899e-08,2009,Menor,Verdadeiro,Falso,13
t_bf26f2f8-3b27-46dd-a73e-7145772a4d56,2.4600001017252606,99.9875206388352,0.8014014363288879,0.5776816606521606,5.156199685968366e-12,2018,Maior,Falso,Falso,15
t_53bcc178-400d-4119-8a20-e542a1aac6cc,3.1011110941569013,99.96866729799572,0.6274123191833496,0.71624755859375,1.4281842201924187e-11,1999,Maior,Verdadeiro,Falso,12
t_33a36dde-376e-4414-a780-9b66ea4a9f1b,2.6695510864257814,99.79437763524776,0.5843663215637207,0.6510617733001709,0.8925060629844666,1979,Maior,Falso,Falso,21
t_faca966e-9b05-46ea-8b2a-8475bab94607,2.4856002807617186,99.9306662841743,0.8261750340461731,0.5828403830528259,2.654056061146548e-06,2018,Maior,Verdadeiro,Falso,19
t_1edc786e-0b3f-41de-9c0d-f45d6f8bec72,2.6940287272135417,99.85265700782232,0.7551146149635314,0.5858890414237976,1.954609388121753e-06,2016,Menor,Verdadeiro,Falso,19
t_4355de71-1250-4068-998f-0907c8947c52,3.761796569824219,99.29856951201192,0.5366731286048889,0.8078296780586242,0.8652415871620178,2018,Maior,Falso,Verdadeiro,19
t_e34f6ffc-1765-43da-81e6-0bb6393590a0,3.3391110738118486,99.99584557418628,0.8662611842155457,0.8591797947883606,2.560991845257377e-07,2018,Menor,Falso,Falso,13
t_e69d9c56-b60a-478a-bc4c-430315237ebe,3.5988889058430997,99.5622171265054,0.7673276662826538,0.5655418634414672,3.166217936723115e-07,2017,Maior,Verdadeiro,Verdadeiro,6
t_c6a048e2-6f26-467f-b615-51ece6892caa,3.611555480957031,99.86092725851306,0.588813066482544,0.7681309580802917,3.6605143804990803e-07,1984,Maior,Falso,Verdadeiro,22
t_bf3e7c30-e77a-43c3-b363-e4b43ccec3f1,3.8493507385253904,99.93381708563344,0.4699820280075073,0.4222171008586883,0.0002159164578188,2016,Maior,Falso,Falso,10
t_e9f03326-7063-4488-8d93-e1db7a309f95,3.6871111551920572,99.52377702702888,0.3670560717582702,0.96877783536911,3.8044188386265887e-06,2010,Maior,Verdadeiro,Falso,1
t_00b4ac62-18c4-4677-8d69-17f74a873051,3.493782297770182,99.9346421806557,0.6280009150505065,0.4090324938297271,2.471518598667899e-07,2016,Maior,Verdadeiro,Verdadeiro,16
t_a779ac10-6a41-45f0-b87e-27b814ae7da2,3.3002382914225263,99.91821909045672,0.4974201619625091,0.5519415736198425,7.413752882712288e-06,2011,Maior,Verdadeiro,Falso,13
t_6e12ff1e-0008-4e64-aa34-558db1179f55,4.283111063639323,99.5289849367404,0.6416589021682739,0.7923738360404968,0.0469722226262092,2018,Maior,Falso,Falso,18
t_6cfd360a-5672-4fdd-8e1c-fc40b7b62e80,5.123333231608073,99.628564094853,0.3906405866146087,0.5616077184677124,2.5939124626006563e-08,2012,Menor,Verdadeiro,Falso,19
t_6b6e70dd-e0cf-4325-ae5d-eb3b42befce3,3.9117777506510416,99.93554447755136,0.7755404710769653,0.5701770782470703,2.225200432803831e-06,2004,Menor,Verdadeiro,Verdadeiro,18
t_3d398c64-e5ea-4793-839c-fddefa253f95,3.7894739786783855,99.55300597798232,0.5965924263000488,0.4363462924957275,0.0029069576412439,2017,Menor,Verdadeiro,Falso,18
t_cebc3e61-8bd6-4590-b466-c60fd890b738,4.445555623372395,99.90672244480577,0.4880880415439605,0.9049692749977112,3.705704898493423e-08,1997,Maior,Verdadeiro,Falso,9
t_24aab900-3200-4eb3-bae4-81d9e99f62d9,9.136676025390624,99.91965375860458,0.3672673404216766,0.4256257712841033,0.5678443908691406,2017,Menor,Falso,Falso,0
t_c8c0e032-14a5-4050-8404-d9f7af43baea,4.733777872721354,99.87907291551282,0.7347646355628967,0.4524160325527191,0.9031924605369568,2016,Menor,Verdadeiro,Falso,17
t_a3365d85-e30b-464b-b209-2495b4830144,3.249555460611979,99.7788729256681,0.4527082443237304,0.7734836935997009,0.0018192800926044,2010,Menor,Falso,Verdadeiro,18
t_b6bc9d58-d751-4940-b923-0d2a16848fec,3.092066446940104,99.9327668184804,0.3456299006938934,0.7499517202377319,0.0119343195110559,1966,Maior,Verdadeiro,Falso,10
t_b07ad91c-4c07-4c12-b567-e06a0b32338e,3.5480000813802084,99.99245995036208,0.3444128632545471,0.5367743372917175,0.0001273550005862,2013,Menor,Verdadeiro,Verdadeiro,12
t_0d6f1609-8944-4441-8467-5f6b98f82d2c,4.052888743082682,99.14406443770169,0.154427483677864,0.6800684928894043,1.5822733701043037e-07,2016,Maior,Falso,Verdadeiro,16
t_54fd6876-88c3-4fed-9672-be3b24be4497,3.4740000406901044,99.99580697324956,0.8228110671043396,0.616905689239502,1.1875012084772152e-10,2016,Maior,Falso,Verdadeiro,8
t_6a9161c0-f385-41c0-8128-873b03454896,3.392857106526693,99.95063583543372,0.733151376247406,0.74428790807724,2.4943660418413893e-12,2017,Maior,Verdadeiro,Falso,17
t_e4936343-3313-46f9-84ec-ab289f6abe65,4.197333272298177,99.45341234451844,0.7549360394477844,0.682959496974945,9.10139945631272e-08,2010,Menor,Falso,Verdadeiro,11
t_f5b0a9bb-f0ef-411a-a7a9-c60cb9ca7b30,5.056888834635417,99.858144774325,0.4524681568145752,0.3564375042915344,3.3826622711785603e-06,2007,Maior,Verdadeiro,Falso,16
t_07a9c3ef-c421-4db1-af9e-88c4b1b23b1d,4.007333374023437,99.69264164979631,0.4455973505973815,0.51365065574646,0.0002066759625449,2017,Maior,Falso,Falso,10
t_e908ac5d-8d83-4164-91f7-9e5d6c0c00b9,3.1973879496256505,99.6298331006474,0.734254240989685,0.869783878326416,1.7542808095072363e-08,2006,Maior,Falso,Verdadeiro,10
t_5736c3d0-c9ce-4c33-999e-cf11e65fca0f,3.72977778116862,99.9661614538541,0.6057978272438049,0.7373146414756774,7.116641165261226e-10,2017,Maior,Falso,Verdadeiro,16
t_836e6f72-fdbd-41bd-b350-2a3beb01919b,2.6093785603841146,99.97500106836132,0.6730462908744812,0.5136542916297911,0.0001818446617107,2018,Maior,Falso,Verdadeiro,16
t_45a62a62-3d4c-40c4-86f3-1c34aeaee830,3.7115554809570312,99.78710135867736,0.6524660587310791,0.7588496208190918,0.0002543952141422,2018,Menor,Falso,Verdadeiro,9
t_5fbba9d5-034f-49c2-a4ef-14f1cc3a60be,3.7959999084472664,99.97193390226504,0.8150482773780822,0.6012354493141174,7.248614486421443e-10,2000,Maior,Verdadeiro,Falso,11
t_5f33e749-8e79-43f2-8965-bb878b8ed006,3.7660001118977866,99.98422669223572,0.7678108811378479,0.6203941106796264,5.725723280919359e-12,2011,Maior,Falso,Falso,14
t_c882bc2a-b092-460c-9c21-0b4fe58e6f23,3.241111246744792,99.77681260067104,0.5918116569519043,0.746019423007965,7.966421411431667e-10,2006,Maior,Falso,Verdadeiro,16
t_b20a440a-eb59-4349-a8c9-64f3c355278b,2.584222157796224,99.4592057017701,0.4336680173873901,0.8127476572990417,3.37221365498408e-07,2010,Menor,Verdadeiro,Falso,17
t_ce2cefbd-106a-4beb-9346-7e4ba030fdd7,4.712222290039062,99.75484866768144,0.435421347618103,0.9222704768180848,8.162336778694268e-11,2009,Maior,Falso,Verdadeiro,12
t_22f2a0d1-3a01-4fd0-9693-9af052d3a9df,3.2511110941569017,98.95754310313283,0.6225215792655944,0.3369503617286682,3.1310532904171846e-06,1977,Maior,Falso,Verdadeiro,12
t_852f4fb8-16d7-4a83-8c15-b731f1c74f9f,3.0193333943684886,98.94186147259325,0.8162136673927307,0.2178758233785629,3.667589112410497e-07,1967,Maior,Verdadeiro,Falso,18
t_7fd096b7-e0df-4bcb-9ed3-9c710d087db0,1.2573333740234376,99.77397864856738,0.3544169962406158,0.0424998551607131,0.8467838764190673,2016,Menor,Falso,Falso,20
t_f10b0422-5105-495b-9d93-33dfa4c5c1da,2.846766408284505,99.95778022547032,0.785926342010498,0.6634305119514465,4.15370686823735e-06,2017,Menor,Falso,Falso,18
t_e18432f0-6a13-4a1d-a40b-4fd6cc25d078,2.024691645304362,99.96914820133226,0.6443432569503784,0.1785295605659484,0.911888837814331,2018,Maior,Falso,Verdadeiro,21
t_d36c51a4-db61-4363-ad03-1ec9e4bfe33a,3.978222147623698,99.3996862741036,0.4837563931941986,0.8553839325904846,0.0016323927557095,2001,Maior,Verdadeiro,Falso,10
t_af002381-2408-4d04-a4e1-37e55c24c16e,3.506749725341797,99.9246123705998,0.3547165393829345,0.8502728939056396,9.426894820308007e-10,2014,Maior,Verdadeiro,Falso,16
t_6bbc76ed-010c-4648-af68-e2bb01370b89,4.755555725097656,99.65802786817144,0.5718017220497131,0.573087215423584,0.8116723299026489,2017,Maior,Verdadeiro,Falso,2
t_16e7d5a4-0d1c-4b2e-86fc-a45fbde7db10,4.048799641927084,96.97513088009477,0.5838862657546997,0.9780234098434448,2.18758486880688e-05,2011,Menor,Verdadeiro,Falso,19
t_f420302e-29af-4c46-9553-640b8b19b1fa,3.9397005716959637,98.61232688424803,0.8033072352409362,0.833918273448944,1.0468295386090176e-06,2014,Menor,Falso,Verdadeiro,0
t_e126ee76-deb0-4d38-80a3-c54766e0f44c,3.311406707763672,99.98781336260528,0.6824174523353576,0.9554904103279112,3.180019120918587e-05,2018,Menor,Verdadeiro,Falso,17
t_b38a765f-3708-4fbc-851f-3cd9fe8a4821,2.5830724080403646,99.97283298241597,0.6349257230758667,0.1926218122243881,0.8510938286781311,2017,Maior,Falso,Verdadeiro,23
t_a7acc9de-9ff9-4f21-bade-18845d1c9a06,3.160666656494141,99.98390019264602,0.8817729353904724,0.6128878593444824,0.0003605537349358,2013,Maior,Falso,Falso,16
t_5ec1c4e9-d94e-4a7b-8fe8-4aafd8384107,2.7208887736002603,99.99949818782272,0.8014047741889953,0.7949541807174682,0.0001131434837589,2017,Menor,Falso,Falso,18
t_1b16b4da-7c50-4abf-89e3-29973b6a2170,3.1819999694824213,99.98510325517356,0.4246964156627655,0.8816966414451599,5.516049284004507e-10,2015,Maior,Falso,Falso,17
t_d7b5cf50-42e8-4c33-9b8f-653c2fb77081,2.8273333231608073,99.89818037918567,0.561993896961212,0.4914222061634063,2.4936416820331426e-10,2017,Menor,Falso,Verdadeiro,15
t_834cf97e-1b9e-497b-b033-68bcb61467e9,3.687999979654948,92.79357343298253,0.6073942184448242,0.6725246906280516,1.828647988588728e-08,2015,Menor,Verdadeiro,Falso,9
t_07cd7197-92df-4ec8-894f-0a64ff77a367,3.2222221374511717,99.9745635910786,0.5993728637695312,0.8690391778945922,0.0071943560615181,2015,Maior,Verdadeiro,Falso,21
t_1c8e099d-b433-457e-b87c-69682458e3bc,4.015592702229817,99.37760171318676,0.6495016813278198,0.817546010017395,5.75545655578935e-09,2017,Menor,Falso,Verdadeiro,13
t_44e4add9-f05f-4fbc-b6c0-0e269727d918,3.3548685709635415,99.8461189741666,0.5890275239944458,0.540589451789856,6.959902792980088e-11,2018,Maior,Falso,Falso,14
t_b233f08c-39a1-4da2-921d-e56c38158db7,5.607555643717448,99.9969247920419,0.4456259608268737,0.2392518520355224,4.1007874642673406e-06,1981,Maior,Falso,Falso,18
t_1509137a-8743-48ff-b77c-63f6fb10fd66,3.5477996826171876,99.91074659245808,0.6453495621681213,0.4710217118263244,0.0109599949792027,2018,Menor,Falso,Verdadeiro,16
t_7df90d01-3969-4ba0-9cee-0b2ae9b1aa49,3.246532185872395,99.99331721283158,0.5984764695167542,0.6052762269973754,8.526506866009255e-13,2018,Menor,Falso,Falso,14
t_81595f40-7bf1-4ad3-8f63-034b7ef8e52e,3.3586667378743487,99.93507965793845,0.6601266860961914,0.6626201868057251,4.4277658872715626e-08,2017,Maior,Verdadeiro,Falso,14
t_d2dc623b-3e1f-49a1-87e5-4bf0aef2dcdf,4.405111185709634,99.99892721563384,0.559073805809021,0.3447431921958923,0.0001050576611305,1991,Maior,Verdadeiro,Falso,12
t_39fc13e7-e15b-4683-91d7-f4738f088749,3.8098670959472667,99.5887456202613,0.575835645198822,0.8714510798454284,0.0245611611753702,1983,Maior,Verdadeiro,Falso,21
t_ce4a1d0f-8bce-4b14-908d-3c92e273f742,2.802503458658854,99.96713291076138,0.7817017436027526,0.538923442363739,3.495310011203401e-06,2015,Maior,Verdadeiro,Falso,14
t_88663398-ac5e-4ebb-ad27-c71368280e8a,3.0354286193847666,99.81744008656132,0.8140872120857238,0.4738722443580627,2.2721427517247148e-10,2017,Maior,Verdadeiro,Falso,1
t_209cfc10-1cb8-413f-a8cc-6b5080a33624,3.9993583679199216,99.99432727067556,0.7710033655166626,0.8255834579467773,1.642398994583516e-09,2014,Menor,Falso,Falso,9
t_752489da-a51e-4e4b-8b52-2220e75120fa,2.8573333740234377,99.98394683544454,0.82481050491333,0.5982106924057006,2.7383441647543805e-07,2016,Maior,Falso,Falso,14
t_f34ecea3-55d4-42cb-a62d-3836b641e534,2.627111053466797,98.54832974792284,0.3607359826564788,0.597282350063324,0.3753219544887542,1997,Menor,Falso,Falso,17
t_30ef5ae1-16a5-452b-96d4-516da2e11ab4,5.579999796549479,99.94879103233332,0.6785219311714172,0.8215139508247375,0.8711216449737548,1997,Maior,Falso,Falso,9
t_520b285a-8df7-40fd-be31-dddd1da4f66e,4.217333221435547,99.958394623713,0.550115942955017,0.5419343709945678,1.1225496227007524e-10,2005,Maior,Verdadeiro,Falso,18
